thrust,airspeed,RPM
0,0,0
0.595521629,0,1000
0.587074514,0.134111778,1000
0.578627399,0.268223555,1000
0.565956726,0.447039259,1000
0.557509611,0.581151037,1000
0.544838938,0.715262814,1000
0.532168265,0.849374592,1000
0.519497592,1.028190296,1000
0.502603361,1.162302073,1000
0.489932688,1.296413851,1000
0.473038457,1.430525629,1000
0.451920669,1.609341332,1000
0.435026439,1.74345311,1000
0.41390865,1.877564888,1000
0.392790862,2.011676665,1000
0.371673074,2.190492369,1000
0.346331728,2.324604147,1000
0.32521394,2.458715924,1000
0.299872594,2.592827702,1000
0.274531248,2.771643406,1000
0.249189902,2.905755183,1000
0.223848556,3.039866961,1000
0.19850721,3.173978739,1000
0.173165864,3.352794442,1000
0.14360096,3.48690622,1000
0.114036057,3.621017998,1000
0.088694711,3.755129775,1000
0.059129807,3.933945479,1000
0.029564904,4.068057257,1000
0,4.202169034,1000
0,0,0
2.386310076,0,2000
2.352521614,0.268223555,2000
2.314509595,0.581151037,2000
2.276497577,0.849374592,2000
2.234262,1.162302073,2000
2.183579308,1.430525629,2000
2.132896616,1.74345311,2000
2.077990367,2.011676665,2000
2.01886056,2.324604147,2000
1.955507195,2.592827702,2000
1.887930272,2.905755183,2000
1.816129792,3.173978739,2000
1.740105754,3.48690622,2000
1.659858159,3.755129775,2000
1.575387006,4.068057257,2000
1.486692295,4.336280812,2000
1.397997584,4.649208293,2000
1.300855758,4.917431849,2000
1.203713932,5.23035933,2000
1.106572106,5.498582886,2000
1.005206722,5.811510367,2000
0.899617781,6.079733922,2000
0.794028839,6.392661404,2000
0.688439898,6.660884959,2000
0.578627399,6.97381244,2000
0.464591342,7.242035996,2000
0.350555285,7.554963477,2000
0.236519229,7.823187032,2000
0.118259614,8.136114514,2000
0,8.404338069,2000
0,0,0
5.372365338,0,3000
5.296341301,0.447039259,3000
5.211870148,0.849374592,3000
5.123175437,1.296413851,3000
5.026033611,1.74345311,3000
4.916221112,2.190492369,3000
